name|region
nest|thrissur
kripa|kunnamkulam
whitehouse|ernamkulam
rainbow|calicut
sweet|kottayam
kerala bhavanam|mavelikara
pearl villa|kollam
kandapadu|munnar
tara kerala|palakkad
velliaveedu|kasaragod
downtownkerala|talipparamba
pranavam|kannur
amruthm|thalassery
kailasam|maananthavaadi
gokulam|vadakara
ohm|kalpetta
illam|quilandi
snehakudeeram|kozhicode
vrundavanam|malappuram
krishnakripa|mannaarkkad
poornima|perithalmanna
souparnipa|kodugallor
aiswarya|paravoor
gokulam|aluva
padipura|perumbavur
ambaadi|kochi
mayooram|muvattupuzha
paalazhi|thodupuzha
vasandham|palnavu
veenasree|devikulam
sopaanam|nedumkandam
karthika|vaikam
vijitraveena|chertalai
illam|kumarakom
murigatherry|alappuzha
akshara|mancombu
pacheril|ambalapulai
puthanparambhil|haripad
aloor|mavelikara
kollanoor|palai
thekkedath|
palayoor|kanjirapalli
aabha|pirmed
melepurakkal|changannassery
neelankavil|tiruvalla
pathiyil|kottarakkara
puthiri|punalur
vazhapilly|attingal
edakalathoor|nedumangad
tharayil|thiruvananthapuram
arakkal|kovalam
tharakan|neyyanttinkara
perincherry|pathanamthitta
chittilapilly|kozhencheri
chungath|chelakkara
chalissery|mannuthy
chiriyankandath|vadakkanchery
mekkattukulam|kunnamkulam
pulikottil|erumapetty
kannanaikal|avanoor
puthoor|chalissery
puthussery|ollur
puthiri|aranattukkara
kaattukaran|olari
pittapilly|kalathod
perinchery|cherpu
cheeramban|chembhukavu
mylaadoor|poovani
panakkal|athani
anthikkadu|thiroor
chirayath|machaad
cheruvathoor|kundanoor
chalakkal|onnamkallu
kochupurakkal|shornoor
chiriyankandath|kariyannur
chemmannur|poomala
alappattu|chottupara
chitra|parambai
mayooraveena|pavaratty
thushaaram|koratty
kripaalayam|chiyaram
Tejal| Ludhiana
Tejas|Madhepura
Tejasvi|Madurai
Tusti|Mahe
Udaya|Mahoba
Ujas|Malappuram
Ujhala|Mirzapur
Ujjayini|Mumbai
Utpal|Munger
Uttam|munnar
Vaikunta|kottekad
Vaisaka|cherp
Vajra|kuttur
Valli|aator
Vanalika|mundoor
Vanmala|amla
Vara|ayanthole
Vasant|east fort
Vimal|avanoor
Vrishab|athani
Yahvi|wadakancheri
Yamini|palakkad
Yamuna|vellur
Yashica|peramangalam
Yashila|muthupara
Yukta|varadiyam
Achankovil|mannuthy
Adyar|viyyur
Ahar|aranatukkara
Ajay|vadanapilli
Alaknanda|kannur
Amaravati|pinarayi
Amodar|irinjalakuda
Aner|kodakara
Anjarakkandy|koratty
Arkavathy|ollur
Arvari|puthukkad
Badiya|chalakudi
Bahuda|karukutty
Baleshwar|nellai
Ban Ganga|angamali
Banas|edapilli
Bavanthadi|palarivattam
Beas|kakkanad
Berach|ravipuram
Betwa|mg road
Bhadra|kallor
Bhagirathi|alappuzha
Bharathapuzha|kuttanad
Bhavani|mancheri
Bhima|kolazhi
Bosgah|thiroor
Brahmani|kattapana
Brahmaputra|kottayam
Budhi|mala
Cathe|mapranam
Chaliyar|vadookara
Chambal|nedupuzha
Chenab|palakkal
Cheyyar|marathakkara
Cooum|kuttanellur
Daman Ganga|kunnamkulam
Damodar|edappal
Darakeswar|ponnani
Dhasan|kecheri
Dudhana|choondal
Gadhi|kr puram
Gambhir|pookunnam
Gandak|po road
Ganga|kottapadi
Gayathri|aluva
Ghaggar|thripunithara
Ghaghara|athirapilli
Ghataprabha|chelakkara
Girija|aruvai
Girna|pazhani
Godavari|amballur
Gomti|kanjani
Gunjavni|ooty
Halali|koorg
Hoogli|valpara
Indravati|gavi
Indus|wayanad
Jaldhaka|shornoor
Jayamangali|pattambi
Jhelum|ottapalam
Kaagini|pavarty
Kabini|chavakkad
Kali|kodungallur
Kaliasote|idukki
Kallayi|thekkadi
Kalpathi|kodanad
Kameng|mangalapuram
Kamla|bihar
Kanhan|mukkattukara
Kannadi|aalathoor
Karnaphuli|kalamasseri
Kaveri|kollam
Kelna|pala
Khadakpurna|kota
Kodoor|attapadi
Koel|guruvayure
Kolab|pamba
Kollidam|kaladi
Kosi|olari
Koyna|anthikad
